"","var","rel.inf"
"TARGET_FLAGYES","TARGET_FLAGYES",99.9915689507072
"BLUEBOOK","BLUEBOOK",0.00348411383109409
"MVR_PTS","MVR_PTS",0.00211051156874975
"AGE","AGE",0.000787803467388844
"CLM_FREQCF5","CLM_FREQCF5",0.000621673677068791
"OLDCLAIM","OLDCLAIM",0.000548623200219295
"CAR_TYPEPanel Truck","CAR_TYPEPanel Truck",0.000178817796130865
"CLM_FREQCF3","CLM_FREQCF3",0.000171778235637279
"YOJ","YOJ",0.000156280588251506
"INCOME","INCOME",0.000128175706349081
"HOMEKIDSHK5","HOMEKIDSHK5",0.000124634084794708
"CLM_FREQCF2","CLM_FREQCF2",0.000118637137067776
"KIDSDRIV","KIDSDRIV",0
"HOMEKIDSHK2","HOMEKIDSHK2",0
"HOMEKIDSHK3","HOMEKIDSHK3",0
"HOMEKIDSHK4","HOMEKIDSHK4",0
"HOMEKIDSHK6","HOMEKIDSHK6",0
"PARENT1Yes","PARENT1Yes",0
"MSTATUS1","MSTATUS1",0
"SEX1","SEX1",0
"EDUCATION2HS","EDUCATION2HS",0
"EDUCATION3BA","EDUCATION3BA",0
"EDUCATION4MA","EDUCATION4MA",0
"EDUCATION5PH","EDUCATION5PH",0
"JOBClerical","JOBClerical",0
"JOBDoctor","JOBDoctor",0
"JOBHome Maker","JOBHome Maker",0
"JOBLawyer","JOBLawyer",0
"JOBManager","JOBManager",0
"JOBProfessional","JOBProfessional",0
"JOBStudent","JOBStudent",0
"JOBz_Blue Collar","JOBz_Blue Collar",0
"TRAVTIME","TRAVTIME",0
"CAR_USE1","CAR_USE1",0
"TIF","TIF",0
"CAR_TYPEPickup","CAR_TYPEPickup",0
"CAR_TYPESports Car","CAR_TYPESports Car",0
"CAR_TYPEVan","CAR_TYPEVan",0
"CAR_TYPEz_SUV","CAR_TYPEz_SUV",0
"RED_CARyes","RED_CARyes",0
"CLM_FREQCF4","CLM_FREQCF4",0
"CLM_FREQCF6","CLM_FREQCF6",0
"REVOKEDYes","REVOKEDYes",0
"URBANICITYU","URBANICITYU",0
"HOME_VAL","HOME_VAL",0
"CAR_AGE","CAR_AGE",0
