"","Overall"
"KIDSDRIV",6.00061961551158
"PARENT1Yes",5.70100267655486
"MSTATUS1",5.35375448144964
"EDUCATION2HS",0.491466986429834
"EDUCATION3BA",2.40181982262947
"EDUCATION4MA",1.15834453254248
"EDUCATION5PH",1.10162360224549
"JOBClerical",2.53374503164618
"JOBDoctor",0.478096394731168
"JOBHome Maker",1.66356742926114
"JOBLawyer",0.0918851716231405
"JOBManager",3.1233797052814
"JOBProfessional",1.28654594768591
"JOBStudent",1.66916991574834
"JOBz_Blue Collar",2.18614718547506
"TRAVTIME",6.17226673355532
"CAR_USE1",7.20729057322162
"BLUEBOOK",3.74645678169147
"TIF",5.7886688256449
"CAR_TYPEPanel Truck",2.79969934656412
"CAR_TYPEPickup",4.90652844269764
"CAR_TYPESports Car",7.84355175427492
"CAR_TYPEVan",4.13410069386194
"CAR_TYPEz_SUV",6.61934210272042
"OLDCLAIM",4.44538482149249
"CLM_FREQCF2",5.12144154854099
"CLM_FREQCF3",5.90604755505132
"CLM_FREQCF4",5.56697800574807
"CLM_FREQCF5",3.97477389489978
"CLM_FREQCF6",1.6484954916391
"REVOKEDYes",10.5357881101059
"MVR_PTS",7.83490024793405
"URBANICITYU",20.9229284982559
"INCOME",2.51520054111664
"HOME_VAL",2.61141149027595
